Scope,MethodId,n_OK,n_TIMEOUT,n_ERROR,median_time_sec,p95_time_sec
ALL,0,12,13,0,1.5e-05,0.00024805
ALL,1,11,14,0,1.963,20.076999999999998
ALL,2,25,0,0,0.209,7.692199999999988
ALL,3,25,0,0,1.415,6.816599999999993
ALL,4,21,4,0,0.0002,1.104005
ALL,5,25,0,0,0.000288,2.9378287999999992
Geant2004,0,2,1,0,1.7500000000000002e-05,1.9750000000000002e-05
Geant2004,1,1,2,0,0.048,0.048
Geant2004,2,3,0,0,0.0,34.199999999999996
Geant2004,3,3,0,0,0.035,0.0386
Geant2004,4,3,0,0,8e-06,5.21e-05
Geant2004,5,3,0,0,0.000215,0.0002861
IEEE-118,0,3,0,0,1.5e-05,1.6800000000000002e-05
IEEE-118,1,1,2,0,0.0,0.0
IEEE-118,2,3,0,0,0.0,0.0
IEEE-118,3,3,0,0,0.03,6.954599999999999
IEEE-118,4,3,0,0,8e-06,8.9e-06
IEEE-118,5,3,0,0,3e-06,6.5999999999999995e-06
K4,0,3,0,0,0.000244,0.0002521
K4,1,3,0,0,0.000218,0.00024680000000000004
K4,2,3,0,0,0.000218,0.0002261
K4,3,3,0,0,0.00024,0.0002481
K4,4,3,0,0,0.000127,0.000136
K4,5,3,0,0,0.000112,0.0020568999999999995
sausage,0,4,12,0,8.5e-06,1.07e-05
sausage,1,6,10,0,7.8075,22.8245
sausage,2,16,0,0,0.8405,5.26175
sausage,3,16,0,0,2.2794999999999996,5.4845
sausage,4,12,4,0,0.013173999999999998,46.04744494999993
sausage,5,16,0,0,0.18865099999999999,3.59786525
