Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,Error
3_blocks_sausage_3x3_kao.txt,0,28,9,0,Standard Factoring (Level 0),OK,0.000000000000000,0.000008,1,
3_blocks_sausage_3x3_kao.txt,0,28,9,1,Recursive Decomposition (Level 1),OK,0.000000000000000,1.963000,2461556,
3_blocks_sausage_3x3_kao.txt,0,28,9,2,Simple Factoring (Level 2),OK,0.000000000000000,0.000000,0,
3_blocks_sausage_3x3_kao.txt,0,28,9,3,M-Decomposition (Level 3),OK,0.000000000000000,0.524000,100937,
3_blocks_sausage_3x3_kao.txt,0,28,9,4,Cancela-Petingi (Level 4),OK,0.000000000000000,0.000054,0,
3_blocks_sausage_3x3_kao.txt,0,28,9,5,M-Decomp + CPFM (Level 5),OK,0.000000000000000,0.000163,0,
3_blocks_sausage_3x3_kao.txt,0,28,10,0,Standard Factoring (Level 0),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,10,1,Recursive Decomposition (Level 1),OK,0.509826181948818,4.589000,4294110,
3_blocks_sausage_3x3_kao.txt,0,28,10,2,Simple Factoring (Level 2),OK,0.509826181948818,0.209000,214147,
3_blocks_sausage_3x3_kao.txt,0,28,10,3,M-Decomposition (Level 3),OK,0.509826181948161,0.731000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,10,4,Cancela-Petingi (Level 4),OK,0.509826181948169,0.000200,4,
3_blocks_sausage_3x3_kao.txt,0,28,10,5,M-Decomp + CPFM (Level 5),OK,0.509826181948169,0.000288,9,
3_blocks_sausage_3x3_kao.txt,0,28,11,0,Standard Factoring (Level 0),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,11,1,Recursive Decomposition (Level 1),OK,0.819793714075253,6.718000,6722430,
3_blocks_sausage_3x3_kao.txt,0,28,11,2,Simple Factoring (Level 2),OK,0.819793714075253,0.557000,524448,
3_blocks_sausage_3x3_kao.txt,0,28,11,3,M-Decomposition (Level 3),OK,0.819793714073727,0.697000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,11,4,Cancela-Petingi (Level 4),OK,0.819793714073742,0.010662,436,
