Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,Error
3_blocks_sausage_3x3_kao.txt,0,28,10,0,Standard Factoring (Level 0),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,10,1,Recursive Decomposition (Level 1),OK,0.509826181948818,3.783000,4294110,
3_blocks_sausage_3x3_kao.txt,0,28,10,2,Simple Factoring (Level 2),OK,0.509826181948818,0.200000,214147,
3_blocks_sausage_3x3_kao.txt,0,28,10,3,M-Decomposition (Level 3),OK,0.509826181948161,0.619000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,10,4,Cancela-Petingi (Level 4),OK,0.509826181948169,0.000086,4,
3_blocks_sausage_3x3_kao.txt,0,28,10,5,M-Decomp + CPFM (Level 5),OK,0.509826181948169,0.000114,9,
3_blocks_sausage_3x3_kao.txt,0,28,11,0,Standard Factoring (Level 0),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,11,1,Recursive Decomposition (Level 1),OK,0.819793714075253,6.618000,6722430,
3_blocks_sausage_3x3_kao.txt,0,28,11,2,Simple Factoring (Level 2),OK,0.819793714075253,0.516000,524448,
3_blocks_sausage_3x3_kao.txt,0,28,11,3,M-Decomposition (Level 3),OK,0.819793714073727,0.673000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,11,4,Cancela-Petingi (Level 4),OK,0.819793714073742,0.010899,436,
3_blocks_sausage_3x3_kao.txt,0,28,11,5,M-Decomp + CPFM (Level 5),OK,0.819793714073742,0.393339,52817,
3_blocks_sausage_3x3_kao.txt,0,28,12,0,Standard Factoring (Level 0),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,12,1,Recursive Decomposition (Level 1),OK,0.934403607312682,9.748000,9759970,
3_blocks_sausage_3x3_kao.txt,0,28,12,2,Simple Factoring (Level 2),OK,0.934403607312682,0.852000,881093,
3_blocks_sausage_3x3_kao.txt,0,28,12,3,M-Decomposition (Level 3),OK,0.934403607310560,0.665000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,12,4,Cancela-Petingi (Level 4),OK,0.934403607310576,0.817114,15221,
3_blocks_sausage_3x3_kao.txt,0,28,12,5,M-Decomp + CPFM (Level 5),OK,0.934403607310576,0.575006,54762,
3_blocks_sausage_3x3_kao.txt,0,28,13,0,Standard Factoring (Level 0),TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,13,1,Recursive Decomposition (Level 1),OK,0.959339550849244,13.495000,13406934,
3_blocks_sausage_3x3_kao.txt,0,28,13,2,Simple Factoring (Level 2),OK,0.959339550849244,1.367000,1241100,
3_blocks_sausage_3x3_kao.txt,0,28,13,3,M-Decomposition (Level 3),OK,0.959339550846859,0.723000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,13,4,Cancela-Petingi (Level 4),OK,0.959339550846875,102.533771,458307,
3_blocks_sausage_3x3_kao.txt,0,28,13,5,M-Decomp + CPFM (Level 5),OK,0.959339550846875,0.483617,42156,
4_blocks_sausage_3x3_kao.txt,0,38,14,0,Standard Factoring (Level 0),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,14,1,Recursive Decomposition (Level 1),OK,0.489090483798791,26.627000,23866644,
4_blocks_sausage_3x3_kao.txt,0,38,14,2,Simple Factoring (Level 2),OK,0.489090483798791,0.498000,395498,
4_blocks_sausage_3x3_kao.txt,0,38,14,3,M-Decomposition (Level 3),OK,0.489090483797531,1.645000,131580,
4_blocks_sausage_3x3_kao.txt,0,38,14,4,Cancela-Petingi (Level 4),OK,0.489090483797539,0.001259,29,
4_blocks_sausage_3x3_kao.txt,0,38,14,5,M-Decomp + CPFM (Level 5),OK,0.489090483797539,0.000214,16,
4_blocks_sausage_3x3_kao.txt,0,38,15,0,Standard Factoring (Level 0),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,15,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,15,2,Simple Factoring (Level 2),OK,0.803143004291625,1.277000,963902,
4_blocks_sausage_3x3_kao.txt,0,38,15,3,M-Decomposition (Level 3),OK,0.803143004288652,1.561000,131580,
4_blocks_sausage_3x3_kao.txt,0,38,15,4,Cancela-Petingi (Level 4),OK,0.803143004288667,0.848982,14906,
4_blocks_sausage_3x3_kao.txt,0,38,15,5,M-Decomp + CPFM (Level 5),OK,0.803143004288667,0.963242,105482,
4_blocks_sausage_3x3_kao.txt,0,38,16,0,Standard Factoring (Level 0),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,16,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,16,2,Simple Factoring (Level 2),OK,0.924565335482338,2.191000,1606956,
4_blocks_sausage_3x3_kao.txt,0,38,16,3,M-Decomposition (Level 3),OK,0.924565335478149,1.637000,131580,
4_blocks_sausage_3x3_kao.txt,0,38,16,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,16,5,M-Decomp + CPFM (Level 5),OK,0.924565335478164,1.543204,102237,
4_blocks_sausage_3x3_kao.txt,0,38,17,0,Standard Factoring (Level 0),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,17,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,17,2,Simple Factoring (Level 2),OK,0.953107508639971,3.598000,2256122,
4_blocks_sausage_3x3_kao.txt,0,38,17,3,M-Decomposition (Level 3),OK,0.953107508635227,2.037000,131580,
4_blocks_sausage_3x3_kao.txt,0,38,17,4,Cancela-Petingi (Level 4),TIMEOUT,,,0,
4_blocks_sausage_3x3_kao.txt,0,38,17,5,M-Decomp + CPFM (Level 5),OK,0.953107508635242,1.514593,77756,
5_blocks_sausage_3x3_kao.txt,0,48,18,0,Standard Factoring (Level 0),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,18,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,18,2,Simple Factoring (Level 2),OK,0.469198149903078,0.882000,576849,
5_blocks_sausage_3x3_kao.txt,0,48,18,3,M-Decomposition (Level 3),OK,0.469198149901265,3.060000,161664,
5_blocks_sausage_3x3_kao.txt,0,48,18,4,Cancela-Petingi (Level 4),OK,0.469198149901272,0.020369,204,
5_blocks_sausage_3x3_kao.txt,0,48,18,5,M-Decomp + CPFM (Level 5),OK,0.469198149901272,0.000363,23,
5_blocks_sausage_3x3_kao.txt,0,48,19,0,Standard Factoring (Level 0),TIMEOUT,,,0,
5_blocks_sausage_3x3_kao.txt,0,48,19,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
