Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,Error
3_blocks_sausage_3x3_kao.txt,0,28,10,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.509826181948169,0.000166,9,
3_blocks_sausage_3x3_kao.txt,0,28,10,4,m4: Cancela-Petingi (Nesterov),OK,0.509826181948169,0.000131,4,
3_blocks_sausage_3x3_kao.txt,0,28,10,3,m3: Block + Conv + Modified Facto,OK,0.509826181948161,0.617000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,10,2,m2: Block + Conv + Simple Facto,OK,0.509826181948818,0.186000,214147,
3_blocks_sausage_3x3_kao.txt,0,28,10,1,m1: Block + Pure Facto,OK,0.509826181948818,3.713000,4294110,
3_blocks_sausage_3x3_kao.txt,0,28,10,0,m0: Pure Factoring,TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,11,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.819793714073742,0.361573,52817,
3_blocks_sausage_3x3_kao.txt,0,28,11,4,m4: Cancela-Petingi (Nesterov),OK,0.819793714073742,0.012693,436,
3_blocks_sausage_3x3_kao.txt,0,28,11,3,m3: Block + Conv + Modified Facto,OK,0.819793714073727,0.600000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,11,2,m2: Block + Conv + Simple Facto,OK,0.819793714075253,0.527000,524448,
3_blocks_sausage_3x3_kao.txt,0,28,11,1,m1: Block + Pure Facto,OK,0.819793714075253,5.995000,6722430,
3_blocks_sausage_3x3_kao.txt,0,28,11,0,m0: Pure Factoring,TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,12,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.934403607310576,0.509522,54762,
3_blocks_sausage_3x3_kao.txt,0,28,12,4,m4: Cancela-Petingi (Nesterov),OK,0.934403607310576,0.793914,15221,
3_blocks_sausage_3x3_kao.txt,0,28,12,3,m3: Block + Conv + Modified Facto,OK,0.934403607310560,0.700000,101496,
3_blocks_sausage_3x3_kao.txt,0,28,12,2,m2: Block + Conv + Simple Facto,OK,0.934403607312682,0.863000,881093,
3_blocks_sausage_3x3_kao.txt,0,28,12,1,m1: Block + Pure Facto,OK,0.934403607312682,9.411000,9759970,
3_blocks_sausage_3x3_kao.txt,0,28,12,0,m0: Pure Factoring,TIMEOUT,,,0,
3_blocks_sausage_3x3_kao.txt,0,28,13,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.959339550846875,0.689779,42156,
3_blocks_sausage_3x3_kao.txt,0,28,13,4,m4: Cancela-Petingi (Nesterov),OK,0.959339550846875,111.163502,458307,
