Family,MethodId,n_total,n_ok,pct_ok
ALL,0,44,4,9.1
ALL,1,44,24,54.5
ALL,2,44,32,72.7
ALL,3,44,35,79.5
ALL,4,44,33,75.0
ALL,5,44,41,93.2
Geant2004,0,4,0,0.0
Geant2004,1,4,3,75.0
Geant2004,2,4,4,100.0
Geant2004,3,4,4,100.0
Geant2004,4,4,4,100.0
Geant2004,5,4,4,100.0
Geant2009,0,4,0,0.0
Geant2009,1,4,0,0.0
Geant2009,2,4,0,0.0
Geant2009,3,4,0,0.0
Geant2009,4,4,4,100.0
Geant2009,5,4,4,100.0
IEEE-118,0,4,0,0.0
IEEE-118,1,4,0,0.0
IEEE-118,2,4,0,0.0
IEEE-118,3,4,3,75.0
IEEE-118,4,4,4,100.0
IEEE-118,5,4,4,100.0
UPS-Russia,0,4,0,0.0
UPS-Russia,1,4,0,0.0
UPS-Russia,2,4,0,0.0
UPS-Russia,3,4,0,0.0
UPS-Russia,4,4,3,75.0
UPS-Russia,5,4,1,25.0
sausage-3x3,0,16,0,0.0
sausage-3x3,1,16,9,56.2
sausage-3x3,2,16,16,100.0
sausage-3x3,3,16,16,100.0
sausage-3x3,4,16,10,62.5
sausage-3x3,5,16,16,100.0
sausage-s3,0,12,4,33.3
sausage-s3,1,12,12,100.0
sausage-s3,2,12,12,100.0
sausage-s3,3,12,12,100.0
sausage-s3,4,12,8,66.7
sausage-s3,5,12,12,100.0
