Scope,MethodId,n_OK,n_TIMEOUT,n_ERROR,median_time_sec,p95_time_sec
ALL,0,4,40,0,41.0056565,48.2060521
ALL,1,24,20,0,9.712250000000001,159.2934999999999
ALL,2,32,12,0,1.24475,40.42069999999998
ALL,3,35,7,2,0.877,22.79384999999994
ALL,4,33,11,0,0.008671,323.3276716
ALL,5,41,3,0,0.028297,7.151918
Geant2004,0,0,4,0,,
Geant2004,1,3,1,0,94.849,158.79985
Geant2004,2,4,0,0,41.3995,67.99794999999999
Geant2004,3,4,0,0,0.01025,0.16324999999999995
Geant2004,4,4,0,0,0.00022850000000000002,0.0009503499999999998
Geant2004,5,4,0,0,0.000798,0.0014226
Geant2009,0,0,4,0,,
Geant2009,1,0,4,0,,
Geant2009,2,0,4,0,,
Geant2009,3,0,4,0,,
Geant2009,4,4,0,0,0.00037699999999999995,0.002139049999999999
Geant2009,5,4,0,0,0.0065325,0.018237049999999998
IEEE-118,0,0,4,0,,
IEEE-118,1,0,4,0,,
IEEE-118,2,0,4,0,,
IEEE-118,3,3,1,0,37.8855,699.9961499999998
IEEE-118,4,4,0,0,0.000296,0.0058136499999999975
IEEE-118,5,4,0,0,0.0037415,0.4360424499999999
UPS-Russia,0,0,4,0,,
UPS-Russia,1,0,4,0,,
UPS-Russia,2,0,4,0,,
UPS-Russia,3,0,2,2,,
UPS-Russia,4,3,1,0,0.141545,4.821796099999999
UPS-Russia,5,1,3,0,0.001017,0.001017
sausage,0,4,24,0,41.0056565,48.2060521
sausage,1,21,7,0,8.34,121.8255
sausage,2,28,0,0,0.64,9.847825
sausage,3,28,0,0,0.8975,13.488324999999993
sausage,4,18,10,0,0.4652465,439.29798264999897
sausage,5,28,0,0,0.1682075,8.554595249999997
