Family,MethodId,n_cells,median_rps,geomean_rps
ALL,0,4,1009186.48,1016886.77
ALL,1,24,842970.65,763251.83
ALL,2,32,785845.86,639773.2
ALL,3,35,115730.9,148865.61
ALL,4,33,31448.98,18885.96
ALL,5,41,69264.07,69058.08
Geant2004,1,3,1172831.43,1172816.07
Geant2004,2,4,1167605.19,1168296.08
Geant2004,3,4,456192.53,405899.27
Geant2004,4,4,108834.59,112069.79
Geant2004,5,4,207896.34,157225.74
Geant2009,4,4,52230.44,40916.37
Geant2009,5,4,115773.29,64463.31
IEEE-118,3,3,75668.11,76275.0
IEEE-118,4,4,71463.61,67610.19
IEEE-118,5,4,106979.59,79953.51
UPS-Russia,4,3,4556.85,1717.16
UPS-Russia,5,1,16715.83,16715.83
sausage-3x3,1,9,719416.95,674772.94
sausage-3x3,2,16,607994.73,491605.46
sausage-3x3,3,16,61257.66,45307.53
sausage-3x3,4,10,8694.87,7393.09
sausage-3x3,5,16,58628.34,45872.33
sausage-s3,0,4,1009186.48,1016886.77
sausage-s3,1,12,1056257.5,751899.82
sausage-s3,2,12,1104490.48,743697.31
sausage-s3,3,12,912224.67,615207.25
sausage-s3,4,8,27487.84,22094.71
sausage-s3,5,12,114147.08,99333.69
