Family,MethodId,n_cells,median,geomean,min,max
ALL,0,4,0.00034,0.000157,2e-06,0.010072
ALL,1,19,0.020175,0.007684,1e-06,211.696055
ALL,2,22,0.192433,0.084496,2e-06,2818.94583
ALL,3,25,0.058588,0.067281,1e-06,5451.453444
ALL,4,33,1.0,1.0,1.0,1.0
ALL,5,31,0.814729,2.644017,0.013175,5271.389474
Geant2004,1,3,1e-06,1e-06,1e-06,2e-06
Geant2004,2,4,5e-06,5e-06,2e-06,1.5e-05
Geant2004,3,4,0.009917,0.01069,0.005546,0.026207
Geant2004,4,4,1.0,1.0,1.0,1.0
Geant2004,5,4,0.257214,0.328845,0.217054,0.814729
Geant2009,4,4,1.0,1.0,1.0,1.0
Geant2009,5,4,0.107523,0.122571,0.044252,0.453947
IEEE-118,3,3,1e-06,1e-06,1e-06,4e-06
IEEE-118,4,4,1.0,1.0,1.0,1.0
IEEE-118,5,4,0.106424,0.075332,0.013175,0.23494
UPS-Russia,4,3,1.0,1.0,1.0,1.0
UPS-Russia,5,1,65.363815,65.363815,65.363815,65.363815
sausage-3x3,1,8,0.010849,0.00794,2.7e-05,6.188816
sausage-3x3,2,10,0.51476,0.380989,0.000583,102.180616
sausage-3x3,3,10,0.291526,0.230803,0.00017,143.070318
sausage-3x3,4,10,1.0,1.0,1.0,1.0
sausage-3x3,5,10,37.090206,12.415687,0.026461,2430.13215
sausage-s3,0,4,0.00034,0.000157,2e-06,0.010072
sausage-s3,1,8,0.166864,0.208653,0.000694,211.696055
sausage-s3,2,8,3.481809,1.681996,0.002957,2818.94583
sausage-s3,3,8,2.924129,2.03346,0.001478,5451.453444
sausage-s3,4,8,1.0,1.0,1.0,1.0
sausage-s3,5,8,23.351467,19.985453,0.166919,5271.389474
