Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,CompletedRuns,MinTimeSec,MaxTimeSec,TimeoutBudgetSec,Error
2_blocks_sausage_s3_kao.txt,0,14,5,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.793878966090000,0.000082,8,8,0.000064,0.000115,1800,
2_blocks_sausage_s3_kao.txt,0,14,5,4,m4: Cancela-Petingi (Nesterov),OK,0.793878966090000,0.000034,4,8,0.000023,0.000091,1800,
2_blocks_sausage_s3_kao.txt,0,14,5,3,m3: Block + Conv + Modified Facto,OK,0.793878966089966,0.023000,23048,8,0.022000,0.025000,1800,
2_blocks_sausage_s3_kao.txt,0,14,5,2,m2: Block + Conv + Simple Facto,OK,0.793878966089966,0.011500,14224,8,0.011000,0.012000,1800,
2_blocks_sausage_s3_kao.txt,0,14,5,1,m1: Block + Pure Facto,OK,0.793878966089966,0.049000,59438,8,0.047000,0.055000,300,
2_blocks_sausage_s3_kao.txt,0,14,5,0,m0: Pure Factoring,OK,0.793878966109304,20.963137,20709393,8,20.361927,21.507452,300,
2_blocks_sausage_s3_kao.txt,0,14,6,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.955550868472287,0.012563,2586,8,0.012348,0.018337,1800,
2_blocks_sausage_s3_kao.txt,0,14,6,4,m4: Cancela-Petingi (Nesterov),OK,0.955550868472287,0.002097,200,8,0.001907,0.002763,1800,
2_blocks_sausage_s3_kao.txt,0,14,6,3,m3: Block + Conv + Modified Facto,OK,0.955550868472250,0.024500,23112,8,0.022000,0.030000,1800,
2_blocks_sausage_s3_kao.txt,0,14,6,2,m2: Block + Conv + Simple Facto,OK,0.955550868472231,0.030000,32498,8,0.028000,0.042000,1800,
2_blocks_sausage_s3_kao.txt,0,14,6,1,m1: Block + Pure Facto,OK,0.955550868472231,0.089000,90112,8,0.080000,0.103000,300,
2_blocks_sausage_s3_kao.txt,0,14,6,0,m0: Pure Factoring,OK,0.955550868509962,35.084822,35328313,8,34.887326,35.475467,300,
2_blocks_sausage_s3_kao.txt,0,14,7,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.990572690204730,0.028297,4524,8,0.024801,0.036067,1800,
2_blocks_sausage_s3_kao.txt,0,14,7,4,m4: Cancela-Petingi (Nesterov),OK,0.990572690204730,0.029107,1245,8,0.025115,0.036101,1800,
2_blocks_sausage_s3_kao.txt,0,14,7,3,m3: Block + Conv + Modified Facto,OK,0.990572690204692,0.024000,23124,8,0.022000,0.026000,1800,
2_blocks_sausage_s3_kao.txt,0,14,7,2,m2: Block + Conv + Simple Facto,OK,0.990572690204660,0.049000,55160,8,0.047000,0.056000,1800,
2_blocks_sausage_s3_kao.txt,0,14,7,1,m1: Block + Pure Facto,OK,0.990572690204660,0.106500,124794,8,0.104000,0.129000,300,
2_blocks_sausage_s3_kao.txt,0,14,7,0,m0: Pure Factoring,OK,0.990572690257652,46.926491,47462997,8,44.372178,49.189239,300,
2_blocks_sausage_s3_kao.txt,0,14,8,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.992421864260888,0.029031,4525,8,0.028179,0.032029,1800,
2_blocks_sausage_s3_kao.txt,0,14,8,4,m4: Cancela-Petingi (Nesterov),OK,0.992421864260888,0.487806,15341,8,0.452456,0.529919,1800,
2_blocks_sausage_s3_kao.txt,0,14,8,3,m3: Block + Conv + Modified Facto,OK,0.992421864260851,0.025500,23124,8,0.017000,0.030000,1800,
2_blocks_sausage_s3_kao.txt,0,14,8,2,m2: Block + Conv + Simple Facto,OK,0.992421864260815,0.066500,78228,8,0.063000,0.082000,1800,
2_blocks_sausage_s3_kao.txt,0,14,8,1,m1: Block + Pure Facto,OK,0.992421864260815,0.139500,159864,8,0.129000,0.146000,300,
2_blocks_sausage_s3_kao.txt,0,14,8,0,m0: Pure Factoring,OK,0.992421864321443,48.431857,51471843,8,45.683665,50.234007,300,
3_blocks_sausage_3x3_kao.txt,0,28,10,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.509826181948169,0.000130,9,8,0.000114,0.000309,1800,
3_blocks_sausage_3x3_kao.txt,0,28,10,4,m4: Cancela-Petingi (Nesterov),OK,0.509826181948169,0.000102,4,8,0.000071,0.000176,1800,
3_blocks_sausage_3x3_kao.txt,0,28,10,3,m3: Block + Conv + Modified Facto,OK,0.509826181948161,0.599000,101496,8,0.580000,0.743000,1800,
3_blocks_sausage_3x3_kao.txt,0,28,10,2,m2: Block + Conv + Simple Facto,OK,0.509826181948818,0.175000,214147,8,0.170000,0.187000,1800,
3_blocks_sausage_3x3_kao.txt,0,28,10,1,m1: Block + Pure Facto,OK,0.509826181948818,3.757500,4294110,8,3.684000,3.853000,300,
3_blocks_sausage_3x3_kao.txt,0,28,10,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
3_blocks_sausage_3x3_kao.txt,0,28,11,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.819793714073742,0.491145,52817,8,0.433123,0.568677,1800,
3_blocks_sausage_3x3_kao.txt,0,28,11,4,m4: Cancela-Petingi (Nesterov),OK,0.819793714073742,0.012996,436,8,0.010767,0.014337,1800,
3_blocks_sausage_3x3_kao.txt,0,28,11,3,m3: Block + Conv + Modified Facto,OK,0.819793714073727,0.877000,101496,8,0.812000,1.000000,1800,
3_blocks_sausage_3x3_kao.txt,0,28,11,2,m2: Block + Conv + Simple Facto,OK,0.819793714075253,0.668000,524448,8,0.624000,0.762000,1800,
3_blocks_sausage_3x3_kao.txt,0,28,11,1,m1: Block + Pure Facto,OK,0.819793714075253,8.531500,6722430,8,7.661000,9.914000,300,
3_blocks_sausage_3x3_kao.txt,0,28,11,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
3_blocks_sausage_3x3_kao.txt,0,28,12,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.934403607310576,0.836681,54762,8,0.677284,0.860540,1800,
3_blocks_sausage_3x3_kao.txt,0,28,12,4,m4: Cancela-Petingi (Nesterov),OK,0.934403607310576,1.150056,15221,8,1.003424,1.312944,1800,
3_blocks_sausage_3x3_kao.txt,0,28,12,3,m3: Block + Conv + Modified Facto,OK,0.934403607310560,0.918000,101496,8,0.802000,1.056000,1800,
3_blocks_sausage_3x3_kao.txt,0,28,12,2,m2: Block + Conv + Simple Facto,OK,0.934403607312682,1.129500,881093,8,0.935000,1.260000,1800,
3_blocks_sausage_3x3_kao.txt,0,28,12,1,m1: Block + Pure Facto,OK,0.934403607312682,13.566500,9759970,8,10.888000,16.636000,300,
